elapsed_seconds,hr,hr_expected,hr_effective,drift_est,P_virtual,P_virtual_60s,speed_kmh_clean,grade_roll_120s,corr_active
1160.0,155.33333333333334,147.89339124917436,150.86868179815156,4.46465153518179,159.58689648321342,127.37568394935255,26.2068,0.0004450441218750402,1
1165.0,155.0,147.89339124917436,150.46975004573284,4.5302499542671555,163.40206206647986,131.79750652177424,26.2068,0.0010028616904530043,1
1170.0,153.0,147.89339124917436,148.45579158712462,4.544208412875387,162.73027550273935,135.9794375350641,26.2068,0.0015665948732178955,1
1175.0,152.5,147.8818738290685,147.95439415447893,4.545605845521059,170.5760728534591,140.60680174184367,25.704900000000002,0.0021997833929513775,1
1180.0,152.0,148.25555906634628,152.0,4.545605845521059,172.14519610496018,145.4285568960847,25.247700000000002,0.002867030630368438,0
1185.0,152.5,148.25555906634628,152.5,4.545605845521059,169.14451107239438,150.02778355102234,25.247700000000002,0.003531309301960153,0
1190.0,153.0,148.25555906634628,153.0,4.545605845521059,165.77835909242947,154.39948481748203,25.247700000000002,0.004192106726923262,0
1195.0,153.0,148.25555906634628,153.0,4.545605845521059,168.7471632761792,158.54210207397492,25.2774,0.004854192521640688,0
1200.0,154.0,147.89339124917436,154.0,4.545605845521059,167.23430955035784,161.72942543906336,26.078400000000002,0.005489534616097959,0
1205.0,155.0,147.8246815071639,155.0,4.545605845521059,161.38971677719775,163.5896197153717,26.8524,0.006061479676020904,0
1210.0,156.0,147.8246815071639,156.0,4.545605845521059,156.01864169030455,164.20473900766498,26.8524,0.0065507359102515705,0
1215.0,156.5,147.8246815071639,156.5,4.545605845521059,153.02720337275505,164.14836732020584,26.8524,0.006974489364556947,0
1220.0,157.0,147.8246815071639,157.0,4.545605845521059,147.93091156193793,163.17703524343287,26.5086,0.0073327387064715,0
1225.0,156.5,147.8818738290685,156.5,4.545605845521059,138.3373729720668,161.0883111522318,25.902900000000002,0.007622476374190122,0
1230.0,156.0,147.8790400595106,156.0,4.545605845521059,129.72227861561794,158.3376447449717,25.6767,0.00784830905476107,0
1235.0,156.33333333333334,147.8790400595106,156.33333333333334,4.545605845521059,115.40903459020629,153.74039155636729,25.674,0.00796951476368928,0
1240.0,156.66666666666666,148.09029981677756,156.66666666666666,4.545605845521059,101.52700824207717,147.8555425677937,25.5636,0.007998461823786714,0
1245.0,157.0,148.1539322251734,157.0,4.545605845521059,91.35242028575607,141.37286833557383,25.475699999999996,0.007951231435277475,0
1250.0,157.0,147.95404266028035,157.0,4.545605845521059,83.10361276065746,134.4833061412595,25.475699999999996,0.007836503476847813,0
1255.0,157.0,147.8643865720341,157.0,4.545605845521059,79.48742477154835,127.04499459920693,25.5309,0.007634564214470862,0
1260.0,156.5,147.737457860122,156.5,4.545605845521059,75.97761340887675,119.44026992075017,25.5447,0.007316387250689583,0
1265.0,156.0,147.91708488731803,156.0,4.545605845521059,72.1019992416285,111.99962679278606,25.5447,0.0068824833832798514,0
1270.0,156.0,147.98780626267987,156.0,4.545605845521059,70.40079264214202,104.86480603877253,25.6464,0.006356479795131576,0
1275.0,156.5,148.0555567205385,156.5,4.545605845521059,72.27879133154673,98.13577170200516,25.7526,0.0058019760258359145,0
1280.0,157.0,148.03391247068433,157.0,4.545605845521059,71.0600954087625,91.72987035590722,25.965000000000003,0.005191991092258923,0
1285.0,156.0,148.3384187742499,156.0,4.545605845521059,73.30044517505567,86.31012637282295,26.3808,0.004564993828490995,0
1290.0,156.5,148.45231015221722,156.5,4.545605845521059,74.3685432120706,81.697315089194,27.0729,0.003938256746696063,0
1295.0,157.0,148.4562927081582,157.0,4.545605845521059,79.06490337022007,78.6686374875285,27.737099999999998,0.0032625385227561914,0
1300.0,157.0,148.46329910313088,157.0,4.545605845521059,84.93531466857723,77.2859963564035,28.0962,0.0025804869183193506,0
1305.0,158.0,148.39965777187845,158.0,4.545605845521059,90.86996310953356,77.24579159171829,28.0962,0.0019227176588876667,0
1310.0,158.0,148.31850041124184,158.0,4.545605845521059,94.48536715574042,78.19427112464187,28.0962,0.0012769858319777857,0
1315.0,158.0,148.24207712310078,158.0,4.545605845521059,94.89398127214847,79.47815083302521,28.0692,0.0005804420047536067,0
